id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total
S104,andhra pradesh,andhra pradesh,Andhra Pradesh,24.9,20.5,21.8,11.046339917826236
S105,andhra pradesh,andhra pradesh,Andhra Pradesh,14.4,13.2,13.6,9.616994249932711
S106,andhra pradesh,andhra pradesh,Andhra Pradesh,6.2,5.8,5.9,3.1174266183466584
S107,andhra pradesh,andhra pradesh,Andhra Pradesh,27.5,24.3,25.3,13.832967649010714
S108,andhra pradesh,andhra pradesh,Andhra Pradesh,19.2,16.9,17.6,15.147251008704462
S109,andhra pradesh,andhra pradesh,Andhra Pradesh,7.4,6.9,7.1,4.909602399479782
S110,andhra pradesh,andhra pradesh,Andhra Pradesh,32.2,27.6,29,18.172791111423443
S111,andhra pradesh,andhra pradesh,Andhra Pradesh,4.3,4.8,4.7,NA
S112,andhra pradesh,andhra pradesh,Andhra Pradesh,0.7,0.8,0.8,NA
S113,andhra pradesh,andhra pradesh,Andhra Pradesh,8.3,6.8,7.3,NA
S114,andhra pradesh,andhra pradesh,Andhra Pradesh,7.3,5.9,6.3,NA
S115,andhra pradesh,andhra pradesh,Andhra Pradesh,29.1,22.6,24.6,29
S116,andhra pradesh,andhra pradesh,Andhra Pradesh,47.1,34.7,38.6,55.5
S117,andhra pradesh,andhra pradesh,Andhra Pradesh,70.8,59.7,63,57.5
S118,andhra pradesh,andhra pradesh,Andhra Pradesh,88.4,80,82.6,83.4
S119,andhra pradesh,andhra pradesh,Andhra Pradesh,83.4,84.3,84.1,79.9
S120,andhra pradesh,andhra pradesh,Andhra Pradesh,36.5,44.5,42.1,42.1
S121,andhra pradesh,andhra pradesh,Andhra Pradesh,41.4,50.6,47.8,44.7
S122,andhra pradesh,andhra pradesh,Andhra Pradesh,86.7,79.6,81.8,66.3
S123,andhra pradesh,andhra pradesh,Andhra Pradesh,67.4,40.9,48.9,36.2
S124,andhra pradesh,andhra pradesh,Andhra Pradesh,90.6,82.5,85.1,67.5
S125,andhra pradesh,andhra pradesh,Andhra Pradesh,28.8,30.5,30,43.4
S126,andhra pradesh,andhra pradesh,Andhra Pradesh,3.5,3.9,3.8,4.9
S127,andhra pradesh,andhra pradesh,Andhra Pradesh,3.8,3.7,3.7,6.8
S128,andhra pradesh,andhra pradesh,Andhra Pradesh,1.9,4.7,3.8,2.3108490933557775
S129,andhra pradesh,andhra pradesh,Andhra Pradesh,15.8,25.6,22.6,26.753376302077108
S130,andhra pradesh,andhra pradesh,Andhra Pradesh,0.3,0.6,0.5,0.423807369055165
S131,andhra pradesh,andhra pradesh,Andhra Pradesh,20.5,24.5,23.3,34.87237076864043
S01,assam,assam,Assam,87.9,76.5,78.2,75
S02,assam,assam,Assam,21.3,29.5,28.3,30.3
S03,assam,assam,Assam,982,1017,1012,993
S04,assam,assam,Assam,916,970,964,929
S05,assam,assam,Assam,97,96.2,96.3,94.2
S06,assam,assam,Assam,80.5,62.8,65.5,NA
S07,assam,assam,Assam,99,91.5,92.6,78.3
S08,assam,assam,Assam,92.3,85,86,84.2
S09,assam,assam,Assam,69.7,68.4,68.6,49
S10,assam,assam,Assam,85.5,33.7,42.1,25.1
S11,assam,assam,Assam,99.6,98.6,98.8,99.6
S12,assam,assam,Assam,50.1,61.9,60,10.4
S13,assam,assam,Assam,4.1,4.4,4.4,NA
S14,assam,assam,Assam,87.5,75.4,77.2,71.8316639441353
S15,assam,assam,Assam,92.6,82.8,84.3,82.76528982969454
S16,assam,assam,Assam,49,26.2,29.6,26.2
S17,assam,assam,Assam,53.2,32.2,35.5,33.2
S18,assam,assam,Assam,49,24.4,28.2,NA
S19,assam,assam,Assam,67.4,37.8,42.3,NA
S20,assam,assam,Assam,22.3,33.4,31.8,30.8
S21,assam,assam,Assam,18.3,22.5,21.8,15
S22,assam,assam,Assam,1.5,1.9,1.9,2.2
S23,assam,assam,Assam,5.8,12.5,11.7,13.6
S24,assam,assam,Assam,41,64,61,72
S25,assam,assam,Assam,15.2,23.4,22.5,32.8
S26,assam,assam,Assam,22.7,33.1,31.9,47.6
S27,assam,assam,Assam,33,39.9,39.1,56.5
S28,assam,assam,Assam,61.4,60.7,60.8,52.4
