ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
V12,2,554,AP,Andhra Pradesh,Chittoor,67.7
S15,2,554,AP,Andhra Pradesh,Chittoor,87.5
S16,2,554,AP,Andhra Pradesh,Chittoor,39
S20,2,554,AP,Andhra Pradesh,Chittoor,25.9
S21,2,554,AP,Andhra Pradesh,Chittoor,NA
S23,2,554,AP,Andhra Pradesh,Chittoor,14.7
S28,2,554,AP,Andhra Pradesh,Chittoor,59.7
S29,2,554,AP,Andhra Pradesh,Chittoor,59.5
S02,2,554,AP,Andhra Pradesh,Chittoor,23.4
S30,2,554,AP,Andhra Pradesh,Chittoor,58.3
S31,2,554,AP,Andhra Pradesh,Chittoor,0
S32,2,554,AP,Andhra Pradesh,Chittoor,0.7
S33,2,554,AP,Andhra Pradesh,Chittoor,0.4
S34,2,554,AP,Andhra Pradesh,Chittoor,0.2
S36,2,554,AP,Andhra Pradesh,Chittoor,4.2
S37,2,554,AP,Andhra Pradesh,Chittoor,2.7
S38,2,554,AP,Andhra Pradesh,Chittoor,13.6
S39,2,554,AP,Andhra Pradesh,Chittoor,28.7
S40,2,554,AP,Andhra Pradesh,Chittoor,72
S03,2,554,AP,Andhra Pradesh,Chittoor,1079
S41,2,554,AP,Andhra Pradesh,Chittoor,70.4
S42,2,554,AP,Andhra Pradesh,Chittoor,94.7
S43,2,554,AP,Andhra Pradesh,Chittoor,64.1
V33,2,554,AP,Andhra Pradesh,Chittoor,45.3
S45,2,554,AP,Andhra Pradesh,Chittoor,90.7
S46,2,554,AP,Andhra Pradesh,Chittoor,82
V36,2,554,AP,Andhra Pradesh,Chittoor,29.9
S47,2,554,AP,Andhra Pradesh,Chittoor,1686
S48,2,554,AP,Andhra Pradesh,Chittoor,NA
S49,2,554,AP,Andhra Pradesh,Chittoor,27
S04,2,554,AP,Andhra Pradesh,Chittoor,1168
S50,2,554,AP,Andhra Pradesh,Chittoor,94
S51,2,554,AP,Andhra Pradesh,Chittoor,53
S52,2,554,AP,Andhra Pradesh,Chittoor,1.4
S53,2,554,AP,Andhra Pradesh,Chittoor,87.9
S54,2,554,AP,Andhra Pradesh,Chittoor,32.9
S55,2,554,AP,Andhra Pradesh,Chittoor,53.7
S56,2,554,AP,Andhra Pradesh,Chittoor,20.6
S57,2,554,AP,Andhra Pradesh,Chittoor,67.7
S59,2,554,AP,Andhra Pradesh,Chittoor,98
S60,2,554,AP,Andhra Pradesh,Chittoor,74.6
S05,2,554,AP,Andhra Pradesh,Chittoor,86.4
S61,2,554,AP,Andhra Pradesh,Chittoor,87.6
S62,2,554,AP,Andhra Pradesh,Chittoor,91.1
S65,2,554,AP,Andhra Pradesh,Chittoor,65.1
V53,2,554,AP,Andhra Pradesh,Chittoor,75.2
S67,2,554,AP,Andhra Pradesh,Chittoor,91.3
S68,2,554,AP,Andhra Pradesh,Chittoor,8.7
S69,2,554,AP,Andhra Pradesh,Chittoor,2.8
S70,2,554,AP,Andhra Pradesh,Chittoor,NA
S71,2,554,AP,Andhra Pradesh,Chittoor,NA
S72,2,554,AP,Andhra Pradesh,Chittoor,NA
V06,2,554,AP,Andhra Pradesh,Chittoor,98.6
S73,2,554,AP,Andhra Pradesh,Chittoor,0
S74,2,554,AP,Andhra Pradesh,Chittoor,NA
S75,2,554,AP,Andhra Pradesh,Chittoor,45.6
S76,2,554,AP,Andhra Pradesh,Chittoor,NA
S77,2,554,AP,Andhra Pradesh,Chittoor,NA
S78,2,554,AP,Andhra Pradesh,Chittoor,3.7
S79,2,554,AP,Andhra Pradesh,Chittoor,NA
S80,2,554,AP,Andhra Pradesh,Chittoor,4.4
S81,2,554,AP,Andhra Pradesh,Chittoor,31.4
S82,2,554,AP,Andhra Pradesh,Chittoor,18.1
V07,2,554,AP,Andhra Pradesh,Chittoor,65.3
S83,2,554,AP,Andhra Pradesh,Chittoor,4.6
S84,2,554,AP,Andhra Pradesh,Chittoor,32.4
S86,2,554,AP,Andhra Pradesh,Chittoor,21
S87,2,554,AP,Andhra Pradesh,Chittoor,16.8
S88,2,554,AP,Andhra Pradesh,Chittoor,28.5
S89,2,554,AP,Andhra Pradesh,Chittoor,30.8
S92,2,554,AP,Andhra Pradesh,Chittoor,46.6
S93,2,554,AP,Andhra Pradesh,Chittoor,48.4
S94,2,554,AP,Andhra Pradesh,Chittoor,58.8
S95,2,554,AP,Andhra Pradesh,Chittoor,48.8
V08,2,554,AP,Andhra Pradesh,Chittoor,39.7
S97,2,554,AP,Andhra Pradesh,Chittoor,20.3
V81,2,554,AP,Andhra Pradesh,Chittoor,9
V82,2,554,AP,Andhra Pradesh,Chittoor,5.8
V83,2,554,AP,Andhra Pradesh,Chittoor,8.9
V84,2,554,AP,Andhra Pradesh,Chittoor,4.7
V85,2,554,AP,Andhra Pradesh,Chittoor,6.1
V86,2,554,AP,Andhra Pradesh,Chittoor,1.6
V87,2,554,AP,Andhra Pradesh,Chittoor,0.1
V88,2,554,AP,Andhra Pradesh,Chittoor,9.9
V89,2,554,AP,Andhra Pradesh,Chittoor,4.5
S10,2,554,AP,Andhra Pradesh,Chittoor,59.3
V90,2,554,AP,Andhra Pradesh,Chittoor,0
S111,2,554,AP,Andhra Pradesh,Chittoor,26.8
S112,2,554,AP,Andhra Pradesh,Chittoor,2.5
S113,2,554,AP,Andhra Pradesh,Chittoor,7.8
S01,2,545,AP,Andhra Pradesh,East Godavari,69
S11,2,545,AP,Andhra Pradesh,East Godavari,82.3
S12,2,545,AP,Andhra Pradesh,East Godavari,70.9
V12,2,545,AP,Andhra Pradesh,East Godavari,71.7
S15,2,545,AP,Andhra Pradesh,East Godavari,83.3
S16,2,545,AP,Andhra Pradesh,East Godavari,35.5
S20,2,545,AP,Andhra Pradesh,East Godavari,30.3
S21,2,545,AP,Andhra Pradesh,East Godavari,NA
S23,2,545,AP,Andhra Pradesh,East Godavari,12.8
S28,2,545,AP,Andhra Pradesh,East Godavari,72.2
S29,2,545,AP,Andhra Pradesh,East Godavari,72.2
S02,2,545,AP,Andhra Pradesh,East Godavari,21.8
S30,2,545,AP,Andhra Pradesh,East Godavari,70.1
S31,2,545,AP,Andhra Pradesh,East Godavari,1.5
S32,2,545,AP,Andhra Pradesh,East Godavari,0
S33,2,545,AP,Andhra Pradesh,East Godavari,0.2
S34,2,545,AP,Andhra Pradesh,East Godavari,0.3
S36,2,545,AP,Andhra Pradesh,East Godavari,3.4
S37,2,545,AP,Andhra Pradesh,East Godavari,1.5
S38,2,545,AP,Andhra Pradesh,East Godavari,20.6
S39,2,545,AP,Andhra Pradesh,East Godavari,30
S40,2,545,AP,Andhra Pradesh,East Godavari,85.5
S03,2,545,AP,Andhra Pradesh,East Godavari,927
S41,2,545,AP,Andhra Pradesh,East Godavari,77.2
S42,2,545,AP,Andhra Pradesh,East Godavari,94.6
S43,2,545,AP,Andhra Pradesh,East Godavari,56.6
V33,2,545,AP,Andhra Pradesh,East Godavari,44.1
S45,2,545,AP,Andhra Pradesh,East Godavari,90.8
S46,2,545,AP,Andhra Pradesh,East Godavari,83
V36,2,545,AP,Andhra Pradesh,East Godavari,8.8
S47,2,545,AP,Andhra Pradesh,East Godavari,1843
S48,2,545,AP,Andhra Pradesh,East Godavari,NA
S49,2,545,AP,Andhra Pradesh,East Godavari,53.7
S04,2,545,AP,Andhra Pradesh,East Godavari,1008
S50,2,545,AP,Andhra Pradesh,East Godavari,96.9
S51,2,545,AP,Andhra Pradesh,East Godavari,41.6
S52,2,545,AP,Andhra Pradesh,East Godavari,2.2
