v025,state,id,variable,mean
1,haryana,S108,nfhs4s_urban,19.007973268139487
1,haryana,S109,nfhs4s_urban,2.3374006932235374
1,haryana,S110,nfhs4s_urban,22.273994647801924
1,haryana,S81,nfhs4s_urban,33.566956666981305
1,haryana,S82,nfhs4s_urban,20.973125976183884
1,haryana,S83,nfhs4s_urban,16.205606420155796
1,haryana,S84,nfhs4s_urban,28.72144041454755
1,haryana,S85,nfhs4s_urban,3.4174080461214618
1,haryana,S92,nfhs4s_urban,69.30130799224305
1,haryana,S07,nfhs4s_urban,99.64873155805644
1,haryana,S08,nfhs4s_urban,99.63124146981328
1,haryana,S09,nfhs4s_urban,83.99193565717648
1,haryana,S10,nfhs4s_urban,85.40879280003828
1,haryana,S12,nfhs4s_urban,16.298644029213396
1,himachal pradesh,S86,nfhs4s_urban,11.630934106289779
1,himachal pradesh,S88,nfhs4s_urban,38.55619891751243
1,himachal pradesh,S99,nfhs4s_urban,4.020912327699875
1,himachal pradesh,S100,nfhs4s_urban,3.8944041318452554
1,himachal pradesh,S101,nfhs4s_urban,8.281369938952892
1,himachal pradesh,S105,nfhs4s_urban,10.524097941595556
1,himachal pradesh,S106,nfhs4s_urban,4.551518971160898
1,himachal pradesh,S107,nfhs4s_urban,17.389160207415518
1,himachal pradesh,S14,nfhs4s_urban,92.55698540501965
1,himachal pradesh,S16,nfhs4s_urban,73.67427605631197
1,himachal pradesh,S20,nfhs4s_urban,22.083927316700844
1,himachal pradesh,S20_rev,nfhs4s_urban,77.91607268329915
1,himachal pradesh,S128,nfhs4s_urban,0.9108737309145573
1,himachal pradesh,S130,nfhs4s_urban,0.5380137535601239
1,himachal pradesh,S15,nfhs4s_urban,95.0429304773438
1,himachal pradesh,S17,nfhs4s_urban,73.98769603085188
1,himachal pradesh,S87,nfhs4s_urban,18.472225617707576
1,himachal pradesh,S89,nfhs4s_urban,26.923203787364937
1,himachal pradesh,S129,nfhs4s_urban,35.0771661359326
1,himachal pradesh,S131,nfhs4s_urban,36.79585521289125
1,himachal pradesh,S102,nfhs4s_urban,4.792860488492953
1,himachal pradesh,S103,nfhs4s_urban,2.7998735452807946
1,himachal pradesh,S104,nfhs4s_urban,7.592734033773748
1,himachal pradesh,S108,nfhs4s_urban,18.367424406922872
1,himachal pradesh,S109,nfhs4s_urban,3.7453215102159043
1,himachal pradesh,S110,nfhs4s_urban,22.035522676531315
1,himachal pradesh,S81,nfhs4s_urban,21.408083257169324
1,himachal pradesh,S82,nfhs4s_urban,19.138461648593445
1,himachal pradesh,S83,nfhs4s_urban,7.073080120179958
1,himachal pradesh,S84,nfhs4s_urban,17.064273369803807
1,himachal pradesh,S85,nfhs4s_urban,2.338680541876777
1,himachal pradesh,S92,nfhs4s_urban,58.9687229415537
